Date,Open,High,Low,Close,Adj Close,Volume
2015-09-01,2080.000000,2110.000000,1595.000000,1730.000000,1172.680908,3273851000
2015-10-01,1745.000000,2340.000000,1710.000000,2105.000000,1426.874756,3331422000
2015-11-01,2070.000000,2320.000000,2040.000000,2155.000000,1460.767212,2364855000
2015-12-01,2205.000000,2320.000000,2085.000000,2285.000000,1548.887695,1982310000
2016-01-01,2285.000000,2365.000000,2150.000000,2245.000000,1521.773804,2113014000
2016-02-01,2270.000000,2460.000000,2085.000000,2215.000000,1501.438232,3491019000
2016-03-01,2200.000000,2300.000000,2130.000000,2285.000000,1548.887695,2566506500
2016-04-01,2260.000000,2260.000000,2010.000000,2070.000000,1403.150024,2204865000
2016-05-01,2090.000000,2135.000000,1905.000000,2070.000000,1624.757690,2668097500
2016-06-01,2070.000000,2185.000000,1980.000000,2160.000000,1695.399414,2304333500
2016-07-01,2180.000000,2400.000000,2140.000000,2305.000000,1809.210815,2370016500
2016-08-01,2320.000000,2450.000000,2295.000000,2330.000000,1828.833496,3297740000
2016-09-01,2310.000000,2450.000000,2300.000000,2440.000000,1915.173218,2405415500
2016-10-01,2440.000000,2480.000000,2365.000000,2440.000000,1915.173218,1806430500
2016-11-01,2450.000000,2595.000000,2085.000000,2180.000000,1711.097412,3335322000
2016-12-01,2180.000000,2375.000000,2155.000000,2335.000000,1832.758057,2038477500
2017-01-01,2335.000000,2465.000000,2315.000000,2345.000000,1840.607178,1534838000
2017-02-01,2360.000000,2425.000000,2330.000000,2390.000000,1875.927979,1973856500
2017-03-01,2370.000000,2650.000000,2370.000000,2595.000000,2036.833984,2456600000
2017-04-01,2595.000000,2650.000000,2485.000000,2580.000000,2417.550781,1478111000
2017-05-01,2580.000000,3060.000000,2580.000000,2895.000000,2712.716797,2568201000
2017-06-01,2895.000000,3060.000000,2840.000000,3050.000000,2857.957031,1312708000
2017-07-01,3000.000000,3100.000000,2860.000000,2955.000000,2768.938721,2439248500
